,col_names,col_dtypes,col_na_count,col_unique,count,mean,std,min,25%,50%,75%,max
Season,Season,int64,0,17,87504.0,2011.2510399524592,4.849546489618752,2003.0,2007.0,2011.0,2015.0,2019.0
DayNum,DayNum,int64,0,133,87504.0,71.11502331321996,35.46230941866294,0.0,40.0,75.0,101.0,132.0
WTeamID,WTeamID,int64,0,357,87504.0,1287.2239897604682,104.76746545893235,1101.0,1198.0,1286.0,1379.0,1466.0
WScore,WScore,int64,0,102,87504.0,75.4295803620406,11.131957760168618,34.0,68.0,75.0,82.0,144.0
LTeamID,LTeamID,int64,0,357,87504.0,1281.7673134942402,104.01342511658203,1101.0,1191.0,1280.0,1373.0,1466.0
LScore,LScore,int64,0,103,87504.0,63.437865697568114,10.974796496556975,20.0,56.0,63.0,70.0,140.0
WLoc,WLoc,object,0,3,,,,,,,,
NumOT,NumOT,int64,0,7,87504.0,0.06849972572682392,0.3059249557608999,0.0,0.0,0.0,0.0,6.0
WFGM,WFGM,int64,0,44,87504.0,26.111492046077892,4.700220064625844,10.0,23.0,26.0,29.0,56.0
WFGA,WFGA,int64,0,70,87504.0,55.174266319253974,7.564707482586891,27.0,50.0,55.0,60.0,103.0
WFGM3,WFGM3,int64,0,27,87504.0,7.114646187602853,3.070932064327046,0.0,5.0,7.0,9.0,26.0
WFGA3,WFGA3,int64,0,55,87504.0,18.567265496434448,5.83387347240054,1.0,14.0,18.0,22.0,56.0
WFTM,WFTM,int64,0,49,87504.0,16.091950082281954,6.249621699475667,0.0,12.0,16.0,20.0,48.0
WFTA,WFTA,int64,0,66,87504.0,22.65911272627537,8.123213096685175,0.0,17.0,22.0,28.0,67.0
WOR,WOR,int64,0,37,87504.0,10.900290272444689,4.132543732547253,0.0,8.0,11.0,13.0,38.0
WDR,WDR,int64,0,46,87504.0,25.67706619125983,4.909033353327239,5.0,22.0,26.0,29.0,53.0
WAst,WAst,int64,0,38,87504.0,14.73842338635948,4.412361034444171,1.0,12.0,14.0,18.0,40.0
WTO,WTO,int64,0,33,87504.0,12.975463978789541,4.026165408763655,1.0,10.0,13.0,16.0,33.0
WStl,WStl,int64,0,27,87504.0,7.0087767416346685,3.1234010630529245,0.0,5.0,7.0,9.0,26.0
WBlk,WBlk,int64,0,21,87504.0,3.830899158895593,2.460668086265219,0.0,2.0,3.0,5.0,21.0
WPF,WPF,int64,0,39,87504.0,17.45147650393125,4.136627521024836,3.0,15.0,17.0,20.0,41.0
LFGM,LFGM,int64,0,41,87504.0,22.596349881148292,4.388045981411805,6.0,20.0,22.0,25.0,47.0
LFGA,LFGA,int64,0,73,87504.0,56.392690619857376,7.686611077861165,26.0,51.0,56.0,61.0,106.0
LFGM3,LFGM3,int64,0,23,87504.0,6.058043060888645,2.781245339394925,0.0,4.0,6.0,8.0,22.0
LFGA3,LFGA3,int64,0,56,87504.0,19.536535472664106,5.958084735188743,1.0,15.0,19.0,23.0,58.0
LFTM,LFTM,int64,0,43,87504.0,12.187122874382885,5.368036195979005,0.0,8.0,12.0,16.0,42.0
LFTA,LFTA,int64,0,60,87504.0,18.03924392027793,7.143684635246344,0.0,13.0,18.0,23.0,61.0
LOR,LOR,int64,0,36,87504.0,11.11552614737612,4.207720837334421,0.0,8.0,11.0,14.0,36.0
LDR,LDR,int64,0,44,87504.0,21.631525415980985,4.543547188862791,4.0,19.0,21.0,25.0,49.0
LAst,LAst,int64,0,32,87504.0,11.43970561345767,3.732507532445296,0.0,9.0,11.0,14.0,31.0
LTO,LTO,int64,0,42,87504.0,14.313825653684402,4.407597016826955,0.0,11.0,14.0,17.0,41.0
LStl,LStl,int64,0,23,87504.0,6.00842247211556,2.7666748049278485,0.0,4.0,6.0,8.0,22.0
LBlk,LBlk,int64,0,19,87504.0,2.8707487657707076,2.0373756672800165,0.0,1.0,3.0,4.0,18.0
LPF,LPF,int64,0,42,87504.0,19.76681066008411,4.528198957972627,4.0,17.0,20.0,23.0,45.0
